Output,Input
North Carolina-Wilmington,UNC Wilmington
North Carolina-Wilmington,UNC-Wilmington
North Dakota,North Dakota
North Dakota State,North Dakota State
North Florida,North Florida
North Texas,North Texas
Northeastern,Northeastern
Northern Arizona,Northern Arizona
Northern Colorado,Northern Colorado
Northern Iowa,Northern Iowa
Northern Kentucky,Northern Kentucky
Northwestern,Northwestern
Northwestern State,Northwestern State
Notre Dame,Notre Dame
Oakland,Oakland
Ohio,Ohio
Ohio State,Ohio State
Oklahoma,Oklahoma
Oklahoma State,Oklahoma State
Old Dominion,Old Dominion
Mississippi,Ole Miss
Oral Roberts,Oral Roberts
Oregon,Oregon
Oregon State,Oregon State
Pacific,Pacific
Pennsylvania,Penn
Penn State,Penn State
Pennsylvania,Pennsylvania
Pepperdine,Pepperdine
Pittsburgh,Pittsburgh
Portland State,Portland State
Prairie View,Prairie View A&M
Princeton,Princeton
Providence,Providence
Purdue,Purdue
Radford,Radford
Rhode Island,Rhode Island
Richmond,Richmond
Robert Morris,Robert Morris
Southern Methodist,SMU
Saint Joseph's,Saint Joseph's
Saint Louis,Saint Louis
Saint Mary's (CA),Saint Mary's
Saint Peter's,Saint Peter's
Sam Houston State,Sam Houston St.
Sam Houston State,Sam Houston State
Samford,Samford
San Diego,San Diego
San Diego State,San Diego State
Seton Hall,Seton Hall
Siena,Siena
South Alabama,South Alabama
South Carolina,South Carolina
South Carolina State,South Carolina State
South Dakota State,South Dakota State
South Florida,South Florida
Southeast Missouri State,Southeast Missouri State
Southeastern Louisiana,Southeastern Louisiana
Southern,Southern
Southern California,USC
Southern Illinois,Southern Illinois
Southern Mississippi,Southern Miss
Southern Utah,Southern Utah
St. Bonaventure,St. Bonaventure
St. John's (NY),St. John's
Saint Joseph's,St. Joseph's
Saint Mary's (CA),St. Mary's
Stanford,Stanford
Stephen F. Austin,Stephen F. Austin
Stony Brook,Stony Brook
Syracuse,Syracuse
Syracuse,Syracuse (vacated)[6][7]
Texas Christian,TCU
Temple,Temple
Tennessee,Tennessee
Texas,Texas
Texas A&M,Texas A&M
Texas A&M-Corpus Christi,Texas A&M-Corpus Christi
Texas Southern,Texas Southern
Texas Tech,Texas Tech
Texas-San Antonio,UTSA
Texas-San Antonio,Texas-San Antonio
Texas-El Paso,UTEP
Texas-Arlington,Texas–Arlington
Troy,Troy
Troy,Troy State
Tulsa,Tulsa
UC-Davis,UC Davis
UC-Irvine,UC Irvine
UC-Santa Barbara,UC Santa Barbara
UCLA,UCLA
Charlotte,UNC Charlotte
Milwaukee,UW-Milwaukee
Utah,Utah
Utah State,Utah State
Virginia Commonwealth,VCU
Valparaiso,Valparaiso
Vanderbilt,Vanderbilt
Vermont,Vermont
Villanova,Villanova
Virginia,Virginia
Virginia Commonwealth,Virginia Commonwealth
Virginia Tech,Virginia Tech
Western Kentucky,WKU
Wagner,Wagner
Wake Forest,Wake Forest
Washington,Washington
Washington State,Washington State
Weber State,Weber State
West Virginia,West Virginia
Western Kentucky,Western Kentucky
Western Michigan,Western Michigan
Wichita State,Wichita State
Winthrop,Winthrop
Wisconsin,Wisconsin
Wofford,Wofford
Wright State,Wright State
Wyoming,Wyoming
Xavier,Xavier
Yale,Yale
