,,Rank,School,Games,Wins,Losses,Win-Loss%,SRS,SOS,Conf Wins,Conf Losses,Home Wins,Home Losses,Away Wins,Away Losses,Points For,Points Against,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,NCAA,Conf Champ,Seed
2019,45,235,Old Dominion,35,26,9,.743,3.74,-1.18,13,5,14,2,8,4,2300,2128,100.2,.289,.373,.499,53.2,53.3,8.6,14.3,.471,15.0,31.8,.192,True,True,14
2019,46,238,Oregon,38,25,13,.658,13.95,6.13,10,8,13,4,5,7,2661,2364,106.2,.294,.395,.549,51.1,52.3,11.6,14.6,.520,15.4,29.1,.212,True,True,12
2019,47,246,Prairie View,35,22,13,.629,-7.29,-9.17,17,1,11,0,9,12,2627,2547,103.5,.425,.341,.530,46.7,49.3,12.2,4.6,.493,15.2,29.8,.289,True,True,16
2019,48,250,Purdue,36,26,10,.722,21.40,11.99,16,4,15,0,6,6,2760,2421,114.4,.299,.455,.563,53.7,53.6,9.1,12.6,.536,13.5,33.8,.215,True,False,3
2019,49,263,Saint Louis,36,23,13,.639,5.06,2.23,10,8,15,2,4,8,2399,2297,99.4,.394,.329,.492,54.5,53.8,10.5,11.9,.467,16.0,35.7,.236,True,True,13
2019,50,264,Saint Mary's (CA),34,22,12,.647,12.58,4.40,11,5,14,3,5,5,2463,2185,112.2,.291,.352,.568,54.4,37.9,9.2,6.9,.538,14.1,30.8,.216,True,True,11
2019,51,275,Seton Hall,34,20,14,.588,10.25,8.34,9,9,11,4,3,8,2508,2443,104.1,.345,.367,.533,50.0,51.7,9.8,11.2,.499,15.2,29.6,.243,True,False,10
2019,52,295,St. John's (NY),34,21,13,.618,7.88,5.50,8,10,11,4,4,7,2623,2542,105.0,.295,.385,.548,45.8,50.0,12.1,9.8,.518,13.0,21.4,.212,True,False,11
2019,53,300,Syracuse,34,20,14,.588,13.73,10.09,10,8,13,6,6,4,2370,2246,103.4,.368,.432,.529,48.4,50.5,12.1,16.8,.496,15.9,30.0,.252,True,False,8
2019,54,301,Temple,33,23,10,.697,8.17,4.93,13,5,13,2,8,5,2465,2358,104.4,.325,.374,.534,48.2,54.5,12.0,6.2,.499,13.8,26.1,.236,True,False,11
2019,55,305,Tennessee,37,31,6,.838,21.55,10.16,15,3,18,0,7,3,3035,2580,116.2,.333,.320,.587,52.3,59.7,8.5,15.2,.554,13.7,30.9,.251,True,False,2
2019,56,315,Texas Tech,38,31,7,.816,22.79,9.53,14,4,17,1,6,3,2765,2261,106.9,.329,.360,.567,50.8,52.3,10.7,15.4,.535,15.8,26.3,.241,True,False,3
2019,57,43,UC-Irvine,37,31,6,.838,5.70,-2.30,15,1,12,2,13,2,2675,2353,107.8,.296,.325,.543,54.8,48.5,8.5,10.9,.516,15.2,34.0,.208,True,True,13
2019,58,323,Utah State,35,28,7,.800,11.98,0.89,15,3,14,1,9,4,2753,2349,111.5,.367,.379,.575,56.2,62.4,8.7,12.2,.538,15.8,31.9,.274,True,True,8
2019,59,328,Vermont,34,27,7,.794,4.88,-4.18,14,2,16,2,11,4,2508,2143,110.2,.359,.403,.568,53.2,46.2,8.3,11.9,.530,14.6,27.3,.269,True,True,13
2019,60,329,Villanova,36,26,10,.722,14.33,7.97,13,5,13,2,5,6,2654,2425,112.2,.344,.535,.565,51.3,56.9,8.2,8.7,.532,14.2,30.1,.251,True,True,6
2019,61,333,Virginia,38,35,3,.921,25.46,10.15,16,2,15,1,10,1,2714,2132,116.3,.291,.395,.580,53.9,55.9,9.0,13.0,.552,12.8,29.7,.216,True,False,1
2019,62,330,Virginia Commonwealth,33,25,8,.758,11.96,2.87,16,2,16,1,8,4,2344,2044,102.1,.357,.412,.535,50.8,54.9,11.5,12.2,.501,17.3,31.0,.251,True,False,8
2019,63,332,Virginia Tech,35,26,9,.743,19.28,7.79,12,6,14,2,5,5,2574,2172,113.3,.319,.437,.588,51.9,59.5,10.4,8.4,.556,15.2,29.2,.243,True,False,4
2019,64,337,Washington,36,27,9,.750,12.01,7.01,15,3,15,1,7,4,2511,2331,103.2,.347,.399,.551,47.6,47.5,13.3,16.3,.521,17.4,28.8,.241,True,False,9
2019,65,347,Wisconsin,34,23,11,.676,17.90,11.01,14,6,12,3,8,5,2333,2099,103.9,.273,.346,.531,49.8,49.2,7.9,11.0,.511,13.0,24.3,.177,True,False,5
2019,66,348,Wofford,35,30,5,.857,13.92,0.80,18,0,15,1,11,3,2879,2295,119.2,.271,.436,.598,54.5,50.6,9.6,9.1,.580,13.5,32.5,.190,True,True,7
2019,67,352,Yale,30,22,8,.733,5.52,-1.24,10,4,11,2,8,5,2427,2202,109.7,.307,.350,.584,52.9,56.3,8.0,11.2,.556,15.9,25.8,.227,True,True,14
