,,Rank,School,Games,Wins,Losses,Win-Loss%,SRS,SOS,Conf Wins,Conf Losses,Home Wins,Home Losses,Away Wins,Away Losses,Points For,Points Against,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,NCAA,Conf Champ,Seed
2000,54,268,Temple,33,27,6,.818,20.64,6.94,14,2,,,,,2260,1808,111.4,.324,.411,.512,53.1,59.6,15.4,15.1,.485,12.8,40.0,.212,True,True,2
2000,55,272,Tennessee,33,26,7,.788,18.94,8.12,12,4,,,,,2629,2239,108.0,.395,.365,.548,51.7,52.9,11.9,13.6,.516,17.8,38.9,.270,True,False,4
2000,56,282,Texas,33,24,9,.727,20.43,9.61,13,3,,,,,2460,2103,105.1,.433,.261,.546,52.8,54.9,10.4,12.1,.518,18.6,37.0,.280,True,False,5
2000,57,287,Tulsa,37,32,5,.865,19.94,2.42,12,2,,,,,2974,2326,109.9,.389,.344,.565,51.2,60.1,16.0,12.1,.532,17.8,36.3,.274,True,False,7
2000,58,288,UCLA,33,21,12,.636,15.29,10.11,10,8,,,,,2492,2321,104.4,.329,.278,.543,52.6,57.2,11.8,10.9,.532,19.3,38.7,.193,True,False,6
2000,59,290,Utah,32,23,9,.719,12.23,4.36,10,4,,,,,2252,1979,109.6,.399,.353,.583,53.8,63.4,9.6,8.2,.550,19.3,34.1,.287,True,False,8
2000,60,289,Utah State,34,28,6,.824,8.83,1.89,16,0,,,,,2397,2080,106.6,.376,.284,.539,52.4,55.4,10.4,10.6,.517,16.9,35.8,.236,True,True,12
2000,61,291,Valparaiso,32,19,13,.594,-2.89,-3.71,10,6,,,,,2128,2006,100.5,.347,.364,.537,53.9,60.6,11.1,10.6,.512,21.3,37.4,.226,True,True,16
2000,62,311,Winthrop,30,21,9,.700,-1.04,-7.41,11,3,,,,,2193,1941,102.8,.417,.408,.532,52.4,55.4,10.1,9.5,.499,18.7,35.1,.277,True,True,14
2000,63,312,Wisconsin,36,22,14,.611,16.67,12.50,8,8,,,,,2157,2007,98.0,.344,.336,.517,48.6,62.5,10.7,8.7,.484,16.4,26.3,.234,True,False,8
2001,0,5,Alabama State,31,22,9,.710,-8.86,-13.61,15,3,11,2,8,5,2135,1980,98.7,.406,.295,.522,49.5,54.2,12.0,6.9,.489,20.0,34.0,.267,True,True,16
2001,1,12,Arizona,36,28,8,.778,26.84,12.56,15,3,13,2,7,5,2926,2386,111.5,.441,.255,.568,54.5,57.6,10.8,10.7,.522,17.5,40.0,.330,True,False,2
2001,2,16,Arkansas,31,20,11,.645,16.61,6.16,10,6,16,2,3,7,2476,2152,106.8,.321,.372,.540,46.3,54.0,15.7,10.6,.511,16.4,34.6,.222,True,False,7
2001,3,25,Boston College,32,27,5,.844,17.99,5.18,13,3,17,0,6,4,2547,2129,113.6,.407,.337,.552,51.3,52.8,14.5,8.2,.514,15.5,41.6,.289,True,True,3
2001,4,29,Brigham Young,33,24,9,.727,10.94,3.47,10,4,15,0,4,6,2324,2069,112.5,.515,.299,.576,51.8,55.6,9.8,9.3,.516,17.7,33.7,.402,True,True,12
2001,5,33,Butler,32,24,8,.750,12.55,3.98,11,3,13,1,7,6,2228,1946,109.8,.397,.376,.570,47.8,51.4,10.9,7.5,.536,16.2,31.9,.284,True,True,10
2001,6,36,Cal State Northridge,32,22,10,.688,5.94,0.24,13,3,13,1,8,6,2650,2409,111.3,.470,.297,.588,50.7,66.8,11.2,6.1,.553,17.8,33.9,.333,True,True,13
2001,7,47,Charlotte,33,22,11,.667,14.24,7.91,10,6,10,2,7,7,2583,2374,108.4,.389,.424,.546,50.1,54.0,9.7,7.3,.513,15.0,33.0,.266,True,True,9
2001,8,50,Cincinnati,35,25,10,.714,16.19,7.84,11,5,11,3,7,5,2586,2294,110.0,.366,.289,.531,49.5,49.0,8.3,8.9,.495,13.5,36.9,.255,True,False,5
2001,9,63,Creighton,32,24,8,.750,12.40,3.00,14,4,14,0,7,5,2325,2024,106.2,.400,.389,.548,50.8,62.2,13.4,10.3,.512,16.7,32.3,.281,True,False,10
2001,10,74,Duke,39,35,4,.897,32.18,11.98,13,3,13,2,9,1,3538,2750,117.8,.396,.418,.588,50.7,57.6,13.7,10.5,.561,15.0,37.0,.275,True,True,1
2001,11,78,Eastern Illinois,31,21,10,.677,0.99,-2.46,11,5,13,0,5,9,2564,2439,111.0,.337,.302,.572,49.6,56.2,8.5,7.9,.533,16.0,32.9,.261,True,True,15
2001,12,90,Florida,31,24,7,.774,21.32,7.51,12,4,14,2,8,3,2509,2081,111.4,.431,.379,.590,51.7,63.4,12.0,9.4,.554,17.5,30.9,.315,True,False,3
2001,13,92,Fresno State,33,26,7,.788,15.66,5.14,13,3,17,1,6,4,2689,2342,109.8,.391,.334,.559,50.7,62.1,13.5,15.3,.529,18.6,34.6,.266,True,False,9
2001,14,94,George Mason,30,18,12,.600,5.12,-0.35,11,5,10,1,6,9,2127,1963,103.3,.371,.257,.530,50.3,52.4,12.2,11.4,.501,17.6,34.5,.245,True,True,14
2001,15,96,Georgetown,33,25,8,.758,12.07,1.58,10,6,13,3,7,3,2574,2228,105.3,.386,.265,.514,55.7,59.2,13.3,14.8,.481,18.0,45.3,.255,True,False,10
2001,16,100,Georgia,31,16,15,.516,12.67,12.71,9,7,9,4,5,7,2257,2258,104.8,.347,.226,.532,53.2,55.7,9.1,12.2,.503,18.6,36.5,.234,True,False,8
2001,17,98,Georgia State,34,29,5,.853,5.25,-3.72,16,2,16,0,10,4,2701,2337,110.8,.391,.377,.551,49.8,48.3,14.4,9.4,.516,15.1,36.3,.274,True,True,11
2001,18,99,Georgia Tech,30,17,13,.567,14.51,11.78,8,8,12,3,3,8,2269,2187,100.2,.363,.384,.531,48.4,62.9,10.5,10.8,.497,18.2,30.3,.251,True,False,8
2001,19,101,Gonzaga,33,26,7,.788,12.57,0.32,13,1,13,1,9,5,2720,2271,116.3,.528,.338,.606,53.6,58.7,8.2,10.2,.579,17.4,35.0,.360,True,True,12
2001,20,104,Hampton,32,25,7,.781,-3.67,-10.60,14,4,10,1,11,5,2471,2246,107.6,.452,.311,.551,51.7,52.8,9.5,13.6,.515,17.9,38.2,.309,True,True,15
