"","School","G","W","L","W-L%","SRS","SOS","Tm.","Opp.","Pace","ORtg","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%","eFG%","TOV%","ORB%","FT/FGA","year","NCAABirth","END"
"342","Wisconsin ","36","22","14",".611","16.67","12.50","2157","2007","","98.0",".344",".336",".517","48.6","62.5","10.7","8.7",".484","16.4","26.3",".234",2000,"NCAA","Wisconsin "
"353","Alabama State ","31","22","9",".710","-8.86","-13.61","2135","1980","","98.7",".406",".295",".522","49.5","54.2","12.0","6.9",".489","20.0","34.0",".267",2001,"NCAA","Alabama State "
"360","Arizona ","36","28","8",".778","26.84","12.56","2926","2386","","111.5",".441",".255",".568","54.5","57.6","10.8","10.7",".522","17.5","40.0",".330",2001,"NCAA","Arizona "
"364","Arkansas ","31","20","11",".645","16.61","6.16","2476","2152","","106.8",".321",".372",".540","46.3","54.0","15.7","10.6",".511","16.4","34.6",".222",2001,"NCAA","Arkansas "
"375","Boston College ","32","27","5",".844","17.99","5.18","2547","2129","","113.6",".407",".337",".552","51.3","52.8","14.5","8.2",".514","15.5","41.6",".289",2001,"NCAA","Boston College "
"379","Brigham Young ","33","24","9",".727","10.94","3.47","2324","2069","","112.5",".515",".299",".576","51.8","55.6","9.8","9.3",".516","17.7","33.7",".402",2001,"NCAA","Brigham Young "
"383","Butler ","32","24","8",".750","12.55","3.98","2228","1946","","109.8",".397",".376",".570","47.8","51.4","10.9","7.5",".536","16.2","31.9",".284",2001,"NCAA","Butler "
"386","Cal State Northridge ","32","22","10",".688","5.94","0.24","2650","2409","","111.3",".470",".297",".588","50.7","66.8","11.2","6.1",".553","17.8","33.9",".333",2001,"NCAA","Cal State Northridge "
"389","University of California ","31","20","11",".645","14.76","9.08","2304","2128","","105.5",".431",".296",".563","49.3","62.5","10.3","6.1",".530","17.2","27.9",".295",2001,"NCAA","University of California "
"399","Charlotte ","33","22","11",".667","14.24","7.91","2583","2374","","108.4",".389",".424",".546","50.1","54.0","9.7","7.3",".513","15.0","33.0",".266",2001,"NCAA","Charlotte "
"402","Cincinnati ","35","25","10",".714","16.19","7.84","2586","2294","","110.0",".366",".289",".531","49.5","49.0","8.3","8.9",".495","13.5","36.9",".255",2001,"NCAA","Cincinnati "
"417","Creighton ","32","24","8",".750","12.40","3.00","2325","2024","","106.2",".400",".389",".548","50.8","62.2","13.4","10.3",".512","16.7","32.3",".281",2001,"NCAA","Creighton "
"428","Duke ","39","35","4",".897","32.18","11.98","3538","2750","","117.8",".396",".418",".588","50.7","57.6","13.7","10.5",".561","15.0","37.0",".275",2001,"NCAA","Duke "
"432","Eastern Illinois ","31","21","10",".677","0.99","-2.46","2564","2439","","111.0",".337",".302",".572","49.6","56.2","8.5","7.9",".533","16.0","32.9",".261",2001,"NCAA","Eastern Illinois "
"446","Florida ","31","24","7",".774","21.32","7.51","2509","2081","","111.4",".431",".379",".590","51.7","63.4","12.0","9.4",".554","17.5","30.9",".315",2001,"NCAA","Florida "
"448","Fresno State ","33","26","7",".788","15.66","5.14","2689","2342","","109.8",".391",".334",".559","50.7","62.1","13.5","15.3",".529","18.6","34.6",".266",2001,"NCAA","Fresno State "
"450","George Mason ","30","18","12",".600","5.12","-0.35","2127","1963","","103.3",".371",".257",".530","50.3","52.4","12.2","11.4",".501","17.6","34.5",".245",2001,"NCAA","George Mason "
"452","Georgetown ","33","25","8",".758","12.07","1.58","2574","2228","","105.3",".386",".265",".514","55.7","59.2","13.3","14.8",".481","18.0","45.3",".255",2001,"NCAA","Georgetown "
"454","Georgia State ","34","29","5",".853","5.25","-3.72","2701","2337","","110.8",".391",".377",".551","49.8","48.3","14.4","9.4",".516","15.1","36.3",".274",2001,"NCAA","Georgia State "
"455","Georgia Tech ","30","17","13",".567","14.51","11.78","2269","2187","","100.2",".363",".384",".531","48.4","62.9","10.5","10.8",".497","18.2","30.3",".251",2001,"NCAA","Georgia Tech "
"456","Georgia ","31","16","15",".516","12.67","12.71","2257","2258","","104.8",".347",".226",".532","53.2","55.7","9.1","12.2",".503","18.6","36.5",".234",2001,"NCAA","Georgia "
"459","Gonzaga ","33","26","7",".788","12.57","0.32","2720","2271","","116.3",".528",".338",".606","53.6","58.7","8.2","10.2",".579","17.4","35.0",".360",2001,"NCAA","Gonzaga "
"462","Hampton ","32","25","7",".781","-3.67","-10.60","2471","2246","","107.6",".452",".311",".551","51.7","52.8","9.5","13.6",".515","17.9","38.2",".309",2001,"NCAA","Hampton "
"465","Hawaii ","31","17","14",".548","6.89","7.25","2254","2265","","102.5",".391",".298",".558","49.9","69.9","8.3","5.7",".520","20.4","33.8",".284",2001,"NCAA","Hawaii "
"467","Hofstra ","31","26","5",".839","5.11","-5.47","2257","1929","","103.5",".487",".304",".553","54.2","52.8","10.9","10.3",".524","20.0","36.4",".315",2001,"NCAA","Hofstra "
"468","Holy Cross ","30","22","8",".733","-0.31","-5.84","2034","1868","","101.1",".654",".270",".540","55.6","60.2","9.3","14.3",".493","21.4","39.9",".430",2001,"NCAA","Holy Cross "
"475","Illinois ","35","27","8",".771","23.32","11.38","2725","2307","","108.4",".430",".331",".553","54.8","59.2","10.7","11.6",".514","17.5","38.4",".303",2001,"NCAA","Illinois "
"476","Indiana State ","34","22","12",".647","6.95","2.50","2479","2305","","",".412",".317",".554","47.7","60.5","","7.1",".517","15.2","29.2",".291",2001,"NCAA","Indiana State "
"477","Indiana ","34","21","13",".618","17.58","11.05","2408","2186","","100.8",".424",".264",".529","51.4","59.8","9.7","12.8",".500","17.9","31.5",".270",2001,"NCAA","Indiana "
"478","Iona ","33","22","11",".667","0.25","-4.09","2549","2375","","104.2",".434",".219",".557","51.4","52.7","10.6","13.0",".523","19.6","33.5",".299",2001,"NCAA","Iona "
"481","Iowa State ","31","25","6",".806","15.90","4.87","2451","2115","","109.6",".493",".251",".572","56.3","52.1","8.5","8.1",".527","17.9","36.2",".359",2001,"NCAA","Iowa State "
"482","Iowa ","35","23","12",".657","14.24","10.70","2593","2469","","106.1",".564",".302",".540","54.7","58.2","7.8","6.6",".485","17.8","38.6",".397",2001,"NCAA","Iowa "
"489","Kansas ","33","26","7",".788","20.23","9.03","2707","2286","","110.2",".395",".233",".571","54.9","64.0","8.8","12.4",".548","18.3","38.7",".261",2001,"NCAA","Kansas "
"490","Kent State ","34","24","10",".706","8.69","1.44","2390","2117","","108.3",".385",".269",".527","48.4","52.1","10.6","8.3",".476","13.2","34.0",".294",2001,"NCAA","Kent State "
"491","Kentucky ","34","24","10",".706","20.27","11.06","2713","2400","","110.2",".366",".345",".563","51.9","54.6","9.3","10.8",".541","17.6","39.2",".240",2001,"NCAA","Kentucky "
"516","Maryland ","36","25","11",".694","23.82","10.99","3067","2605","","113.6",".387",".233",".560","53.2","61.8","11.9","14.3",".529","16.0","40.7",".269",2001,"NCAA","Maryland "
"525","Michigan State ","33","28","5",".848","25.12","9.54","2553","2039","","115.3",".351",".231",".559","61.1","60.5","9.5","11.1",".526","16.5","47.1",".252",2001,"NCAA","Michigan State "
"532","Mississippi ","35","27","8",".771","15.05","9.20","2496","2262","","102.3",".423",".335",".531","49.9","57.8","11.7","8.4",".499","17.5","33.7",".277",2001,"NCAA","Mississippi "
"535","Missouri ","33","20","13",".606","10.76","9.19","2493","2402","","103.9",".368",".364",".527","49.5","49.4","10.8","8.9",".490","17.4","36.2",".258",2001,"NCAA","Missouri "
"536","Monmouth ","31","21","10",".677","-3.82","-8.85","2180","2024","","100.8",".407",".343",".549","48.7","58.1","12.9","10.5",".515","19.2","29.0",".281",2001,"NCAA","Monmouth "
"558","North Carolina-Greensboro ","31","19","12",".613","-5.02","-5.85","2282","2230","","103.2",".412",".276",".548","47.8","53.6","12.3","9.4",".497","18.6","32.4",".317",2001,"NCAA","North Carolina-Greensboro "
"561","North Carolina ","33","26","7",".788","19.95","11.77","2611","2341","","106.5",".403",".263",".556","52.6","61.0","10.0","12.7",".527","18.1","35.2",".270",2001,"NCAA","North Carolina "
"569","Northwestern State ","32","19","13",".594","-11.10","-7.82","2292","2397","","95.1",".473",".297",".504","48.0","51.0","12.8","10.0",".461","19.1","32.5",".313",2001,"NCAA","Northwestern State "
