"","School","G","W","L","W-L%","SRS","SOS","Tm.","Opp.","Pace","ORtg","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%","eFG%","TOV%","ORB%","FT/FGA","year","NCAABirth","END"
"3440","Ohio State ","33","22","11",".667","12.48","8.23","2206","2046","","",".383",".356",".577","48.9","56.6","","11.2",".548","18.7","",".268",2009,"NCAA","Ohio State "
"3442","Oklahoma State ","35","23","12",".657","13.78","7.44","2830","2608","","",".394",".413",".579","48.9","47.0","","4.6",".540","15.0","",".295",2009,"NCAA","Oklahoma State "
"3443","Oklahoma ","36","30","6",".833","18.07","6.88","2833","2430","","",".465",".345",".581","53.9","53.1","","8.1",".552","17.0","",".314",2009,"NCAA","Oklahoma "
"3454","Pittsburgh ","36","31","5",".861","21.21","8.61","2787","2320","","",".328",".294",".555","56.6","60.9","","7.7",".530","14.8","",".222",2009,"NCAA","Pittsburgh "
"3455","Portland State ","33","23","10",".697","1.14","-3.16","2417","2262","","",".293",".440",".559","50.3","58.4","","5.7",".537","17.3","",".199",2009,"NCAA","Portland State "
"3460","Purdue ","37","27","10",".730","16.44","7.17","2555","2212","","",".332",".340",".533","49.6","60.4","","9.7",".500","15.1","",".233",2009,"NCAA","Purdue "
"3462","Radford ","33","21","12",".636","-4.55","-4.37","2491","2372","","",".430",".242",".539","54.2","52.7","","8.5",".504","18.9","",".292",2009,"NCAA","Radford "
"3467","Robert Morris ","35","24","11",".686","-0.70","-5.23","2467","2288","","",".367",".308",".565","50.8","60.9","","7.5",".534","19.5","",".259",2009,"NCAA","Robert Morris "
"3487","Siena ","35","27","8",".771","8.05","0.99","2709","2462","","",".357",".259",".537","49.7","53.0","","8.3",".510","15.5","",".237",2009,"NCAA","Siena "
"3497","Southern California ","35","22","13",".629","14.09","9.15","2397","2224","","",".422",".215",".542","53.9","50.2","","9.7",".508","18.0","",".284",2009,"NCAA","Southern California "
"3507","Stephen F. Austin ","32","24","8",".750","1.10","-3.21","2099","1795","","",".300",".313",".512","50.5","53.6","","6.6",".487","15.8","",".195",2009,"NCAA","Stephen F. Austin "
"3510","Syracuse ","38","28","10",".737","17.24","9.48","3046","2725","","",".388",".326",".565","51.7","61.9","","8.8",".544","17.8","",".250",2009,"NCAA","Syracuse "
"3511","Temple ","34","22","12",".647","9.05","3.90","2333","2158","","",".287",".368",".538","52.2","62.3","","8.3",".511","16.4","",".201",2009,"NCAA","Temple "
"3517","Tennessee ","34","21","13",".618","13.60","7.71","2665","2465","","",".367",".346",".539","53.0","57.9","","7.3",".509","15.5","",".248",2009,"NCAA","Tennessee "
"3519","Texas A&M ","34","24","10",".706","10.52","6.13","2440","2281","","",".468",".306",".545","53.6","51.9","","7.8",".504","16.2","",".324",2009,"NCAA","Texas A&M "
"3528","Texas ","35","23","12",".657","14.83","8.09","2532","2296","","",".386",".274",".519","53.4","48.9","","10.6",".485","15.3","",".258",2009,"NCAA","Texas "
"3534","UCLA ","35","26","9",".743","18.64","7.19","2642","2241","","",".312",".332",".583","52.6","55.9","","6.8",".557","16.3","",".226",2009,"NCAA","UCLA "
"3537","Utah State ","35","30","5",".857","9.33","0.07","2534","2169","","",".383",".311",".591","55.4","63.0","","5.3",".557","15.5","",".284",2009,"NCAA","Utah State "
"3538","Utah ","34","24","10",".706","12.59","5.72","2421","2195","","",".401",".379",".589","53.7","55.9","","9.8",".544","18.6","",".313",2009,"NCAA","Utah "
"3542","Villanova ","38","30","8",".789","17.45","8.72","2919","2560","","",".419",".320",".555","53.5","55.7","","7.0",".508","16.1","",".316",2009,"NCAA","Villanova "
"3543","Virginia Commonwealth ","34","24","10",".706","7.70","-0.65","2440","2156","","",".367",".320",".553","49.5","54.2","","9.4",".520","16.3","",".259",2009,"NCAA","Virginia Commonwealth "
"3548","Wake Forest ","31","24","7",".774","15.63","7.36","2510","2193","","",".435",".213",".563","53.9","44.7","","10.2",".524","18.1","",".309",2009,"NCAA","Wake Forest "
"3550","Washington ","35","26","9",".743","16.78","8.19","2750","2431","","",".435",".203",".534","55.5","46.9","","5.0",".492","16.7","",".304",2009,"NCAA","Washington "
"3552","West Virginia ","35","23","12",".657","18.57","8.34","2521","2163","","",".359",".340",".521","54.1","59.8","","9.6",".485","14.8","",".251",2009,"NCAA","West Virginia "
"3555","Western Kentucky ","34","25","9",".735","3.68","-1.23","2454","2278","","",".335",".370",".549","53.4","52.1","","6.6",".520","16.8","",".231",2009,"NCAA","Western Kentucky "
"3562","Wisconsin ","33","20","13",".606","12.43","8.43","2106","1948","","",".346",".351",".536","52.0","53.5","","6.0",".499","14.4","",".251",2009,"NCAA","Wisconsin "
"3566","Xavier ","35","27","8",".771","14.45","4.65","2508","2165","","",".461",".329",".557","55.9","54.8","","10.0",".524","18.5","",".311",2009,"NCAA","Xavier "
"3582","Arkansas-Pine Bluff ","34","18","16",".529","-8.29","-7.68","2166","2187","67.4","93.1",".484",".262",".495","54.2","58.1","9.8","10.2",".447","20.6","35.6",".323",2010,"NCAA","Arkansas-Pine Bluff "
"3591","Baylor ","36","28","8",".778","17.97","8.03","2771","2362","67.2","113.8",".358",".325",".580","54.4","51.2","9.7","17.4",".549","17.1","38.5",".260",2010,"NCAA","Baylor "
"3600","Brigham Young ","36","30","6",".833","18.82","3.00","2992","2392","71.0","116.1",".388",".330",".596","53.0","55.3","11.9","9.1",".552","14.2","31.2",".307",2010,"NCAA","Brigham Young "
"3604","Butler ","38","33","5",".868","14.37","5.08","2611","2258","64.1","106.8",".469",".398",".559","52.1","54.9","10.9","6.5",".510","16.3","30.4",".346",2010,"NCAA","Butler "
"3613","UC-Santa Barbara ","30","20","10",".667","-0.13","-1.09","2028","1972","67.7","99.4",".459",".357",".547","48.4","61.4","9.9","9.5",".510","19.9","27.4",".312",2010,"NCAA","UC-Santa Barbara "
"3614","University of California ","35","24","11",".686","17.29","8.26","2703","2387","67.9","113.4",".354",".300",".571","52.5","51.8","8.3","6.3",".533","15.1","34.7",".268",2010,"NCAA","University of California "
"3627","Clemson ","32","21","11",".656","15.71","7.90","2350","2065","70.1","104.8",".348",".336",".537","51.4","53.2","13.4","11.9",".511","18.0","36.5",".230",2010,"NCAA","Clemson "
"3639","Cornell ","34","29","5",".853","8.76","-0.91","2596","2192","64.7","117.1",".284",".401",".604","52.4","59.5","11.0","10.2",".568","16.1","33.0",".207",2010,"NCAA","Cornell "
"3651","Duke ","40","35","5",".875","25.21","9.21","3079","2441","66.5","115.7",".379",".329",".549","54.4","52.9","10.0","9.8",".505","13.3","40.3",".287",2010,"NCAA","Duke "
"3654","East Tennessee State ","35","20","15",".571","-0.83","-1.47","2424","2362","69.4","99.5",".412",".291",".512","50.5","44.7","12.0","9.9",".477","18.0","35.0",".271",2010,"NCAA","East Tennessee State "
"3668","Florida State ","32","22","10",".688","14.64","6.79","2183","1932","67.6","100.6",".386",".321",".532","53.7","57.0","12.3","17.7",".505","20.5","38.1",".249",2010,"NCAA","Florida State "
"3669","Florida ","34","21","13",".618","11.89","7.16","2455","2258","66.5","107.4",".334",".323",".528","52.0","53.8","10.6","7.2",".494","15.4","37.0",".235",2010,"NCAA","Florida "
"3676","Georgetown ","34","23","11",".676","17.03","9.56","2500","2246","66.6","110.4",".370",".302",".586","51.8","57.9","10.5","12.9",".557","18.1","33.1",".263",2010,"NCAA","Georgetown "
"3681","Georgia Tech ","36","23","13",".639","14.11","9.02","2621","2365","70.4","103.1",".377",".284",".538","53.2","53.6","11.3","13.9",".511","19.1","37.4",".248",2010,"NCAA","Georgia Tech "
"3683","Gonzaga ","34","27","7",".794","12.11","3.83","2614","2291","69.4","109.6",".494",".278",".570","53.1","50.0","9.5","10.5",".540","16.2","32.1",".328",2010,"NCAA","Gonzaga "
"3693","Houston ","35","19","16",".543","6.74","3.48","2751","2624","71.4","109.3",".337",".357",".520","44.5","45.4","13.1","7.2",".483","10.6","30.3",".239",2010,"NCAA","Houston "
"3713","Kansas State ","37","29","8",".784","19.88","10.28","2949","2584","71.2","110.5",".503",".322",".545","52.9","55.1","10.3","13.2",".508","16.4","40.4",".336",2010,"NCAA","Kansas State "
"3714","Kansas ","36","33","3",".917","24.68","8.25","2937","2312","69.4","116.8",".413",".307",".582","54.6","59.0","12.0","16.0",".551","15.7","38.4",".288",2010,"NCAA","Kansas "
"3717","Kentucky ","38","35","3",".921","21.13","6.82","3012","2468","70.0","112.1",".436",".313",".560","55.4","53.8","10.4","17.8",".530","16.7","40.5",".291",2010,"NCAA","Kentucky "
"3723","Lehigh ","33","22","11",".667","-3.33","-7.79","2478","2331","70.0","106.5",".431",".297",".555","50.9","58.8","8.7","6.7",".514","16.1","29.8",".310",2010,"NCAA","Lehigh "
"3733","Louisville ","33","20","13",".606","14.08","7.99","2505","2304","67.9","110.6",".357",".396",".546","51.3","58.3","11.4","10.9",".514","16.5","39.8",".251",2010,"NCAA","Louisville "
"3740","Marquette ","34","22","12",".647","15.17","8.23","2485","2198","64.4","111.9",".349",".351",".564","49.0","59.9","12.1","5.5",".528","13.8","31.2",".259",2010,"NCAA","Marquette "
"3746","Maryland ","33","24","9",".727","17.75","7.95","2629","2254","70.2","112.2",".336",".249",".552","50.4","56.4","10.9","11.0",".518","13.9","35.6",".245",2010,"NCAA","Maryland "
"3753","Michigan State ","37","28","9",".757","15.33","8.17","2658","2361","65.9","108.7",".369",".263",".547","56.3","62.2","9.9","9.5",".516","17.5","39.8",".253",2010,"NCAA","Michigan State "
"3757","Minnesota ","35","21","14",".600","15.64","7.32","2533","2242","65.7","109.0",".339",".317",".560","51.2","63.9","11.7","16.4",".531","15.9","32.9",".238",2010,"NCAA","Minnesota "
"3763","Missouri ","34","23","11",".676","17.39","6.36","2627","2252","71.0","108.0",".339",".333",".538","48.0","56.4","15.3","12.3",".501","15.0","34.7",".246",2010,"NCAA","Missouri "
"3768","Montana ","32","22","10",".688","3.93","-2.35","2228","1960","63.4","109.8",".369",".322",".579","52.2","50.1","10.2","9.2",".548","16.9","30.6",".267",2010,"NCAA","Montana "
"3770","Morgan State ","37","27","10",".730","-1.18","-6.15","2813","2606","70.0","107.2",".439",".276",".520","52.4","48.0","9.3","9.6",".475","15.6","39.7",".307",2010,"NCAA","Morgan State "
"3772","Murray State ","36","31","5",".861","8.69","-3.89","2753","2175","68.0","112.4",".419",".305",".586","54.7","56.9","14.2","14.2",".556","18.3","39.7",".291",2010,"NCAA","Murray State "
"3775","Nevada-Las Vegas ","34","25","9",".735","12.57","4.82","2485","2168","67.4","107.7",".327",".356",".552","49.5","61.3","11.5","10.2",".520","14.9","29.3",".234",2010,"NCAA","Nevada-Las Vegas "
"3778","New Mexico State ","34","22","12",".647","2.06","1.66","2662","2639","72.1","108.6",".384",".388",".564","48.6","52.7","8.3","8.0",".532","15.6","29.9",".269",2010,"NCAA","New Mexico State "
"3779","New Mexico ","35","30","5",".857","12.49","3.84","2655","2352","67.7","111.3",".449",".365",".541","53.6","56.0","9.7","10.4",".506","13.6","35.4",".301",2010,"NCAA","New Mexico "
"3795","North Texas ","33","24","9",".727","-2.49","-4.72","2437","2303","68.8","105.7",".527",".308",".558","52.7","49.4","6.2","6.6",".508","18.2","33.3",".379",2010,"NCAA","North Texas "
"3800","Northern Iowa ","35","30","5",".857","12.03","4.27","2216","1929","59.4","106.6",".370",".379",".541","52.0","49.1","9.5","6.4",".496","15.4","30.7",".281",2010,"NCAA","Northern Iowa "
"3803","Notre Dame ","35","23","12",".657","13.14","6.22","2635","2393","64.0","116.4",".381",".345",".571","52.6","63.7","8.6","7.8",".537","13.6","34.7",".275",2010,"NCAA","Notre Dame "
"3804","Oakland ","35","26","9",".743","-0.64","-2.96","2676","2504","70.5","108.4",".427",".312",".542","53.4","50.1","9.6","11.2",".498","16.4","37.6",".307",2010,"NCAA","Oakland "
"3805","Ohio State ","37","29","8",".784","19.49","7.37","2740","2274","65.1","113.0",".358",".354",".586","51.2","55.4","10.8","12.2",".561","15.0","28.9",".249",2010,"NCAA","Ohio State "
"3806","Ohio ","37","22","15",".595","4.56","-0.03","2763","2569","69.2","105.7",".410",".353",".537","49.5","56.6","10.6","6.7",".494","15.5","32.4",".295",2010,"NCAA","Ohio "
"3807","Oklahoma State ","33","22","11",".667","12.34","6.97","2437","2243","68.6","107.2",".365",".421",".558","51.0","49.2","9.4","7.0",".524","16.1","29.1",".261",2010,"NCAA","Oklahoma State "
"3811","Old Dominion ","36","27","9",".750","11.39","1.78","2415","2069","62.9","106.2",".303",".254",".512","55.8","60.1","12.4","8.6",".488","16.2","42.4",".197",2010,"NCAA","Old Dominion "
"3819","Pittsburgh ","34","25","9",".735","14.30","7.39","2336","2101","62.6","107.5",".428",".290",".536","53.6","66.3","8.1","10.4",".497","16.2","37.0",".297",2010,"NCAA","Pittsburgh "
"3825","Purdue ","35","29","6",".829","17.52","8.81","2467","2144","66.7","105.3",".386",".300",".533","48.9","56.9","10.6","12.2",".491","14.1","29.4",".279",2010,"NCAA","Purdue "
"3830","Richmond ","35","26","9",".743","10.03","3.43","2427","2196","65.0","104.5",".324",".362",".541","46.2","50.9","12.4","11.9",".511","14.6","26.0",".227",2010,"NCAA","Richmond "
"3834","Robert Morris ","35","23","12",".657","-3.71","-6.15","2399","2306","67.6","101.0",".460",".292",".527","51.1","53.1","11.2","7.2",".489","18.6","34.6",".306",2010,"NCAA","Robert Morris "
"3841","Saint Mary's (CA) ","34","28","6",".824","13.38","2.20","2668","2258","67.0","116.7",".334",".358",".590","53.2","57.5","7.3","11.4",".557","14.8","34.4",".254",2010,"NCAA","Saint Mary's (CA) "
"3843","Sam Houston State ","33","25","8",".758","3.71","-3.37","2616","2284","70.6","111.5",".370",".395",".567","53.0","74.0","11.0","7.0",".536","16.1","34.9",".260",2010,"NCAA","Sam Houston State "
"3845","San Diego State ","34","25","9",".735","11.34","4.21","2389","2101","63.9","108.8",".401",".306",".543","54.8","52.3","11.4","13.0",".522","17.1","40.2",".249",2010,"NCAA","San Diego State "
"3852","Siena ","34","27","7",".794","8.48","-1.17","2554","2226","70.0","106.6",".387",".243",".527","52.9","52.3","12.4","8.5",".493","14.7","35.5",".261",2010,"NCAA","Siena "
"3877","Syracuse ","35","30","5",".857","21.72","7.21","2832","2324","71.0","114.0",".369",".309",".596","53.0","64.6","13.5","17.2",".576","18.3","37.1",".249",2010,"NCAA","Syracuse "
"3878","Temple ","35","29","6",".829","12.44","4.27","2273","1987","61.9","104.2",".274",".312",".518","52.8","60.5","7.5","8.1",".491","14.0","32.1",".189",2010,"NCAA","Temple "
"3882","Tennessee ","37","28","9",".757","16.05","7.75","2720","2413","69.8","105.1",".356",".313",".535","50.8","53.5","11.2","10.8",".506","16.2","33.5",".239",2010,"NCAA","Tennessee "
"3884","Texas A&M ","34","24","10",".706","15.24","9.80","2426","2192","66.7","106.2",".483",".339",".534","51.9","51.3","9.8","9.1",".497","15.5","33.3",".320",2010,"NCAA","Texas A&M "
"3887","Texas-El Paso ","33","26","7",".788","12.66","1.96","2484","2131","69.8","106.6",".396",".312",".556","50.5","54.8","12.4","10.2",".528","16.3","28.9",".267",2010,"NCAA","Texas-El Paso "
"3893","Texas ","34","24","10",".706","18.56","7.38","2761","2381","73.6","109.2",".407",".262",".536","53.8","48.7","10.6","13.0",".511","15.3","38.9",".258",2010,"NCAA","Texas "
"3902","Utah State ","35","27","8",".771","13.62","1.23","2559","2097","62.5","116.5",".298",".303",".581","54.6","62.1","7.4","9.8",".551","14.0","33.8",".226",2010,"NCAA","Utah State "
"3906","Vanderbilt ","33","24","9",".727","15.24","7.86","2537","2274","69.9","109.6",".467",".302",".568","50.3","50.8","8.1","12.5",".525","16.7","33.1",".337",2010,"NCAA","Vanderbilt "
"3907","Vermont ","35","25","10",".714","-1.26","-6.69","2457","2267","67.5","103.6",".494",".278",".528","51.9","51.2","10.1","10.2",".482","17.3","36.3",".339",2010,"NCAA","Vermont "
"3908","Villanova ","33","25","8",".758","16.72","7.75","2700","2404","71.9","112.9",".439",".345",".569","53.2","49.8","10.8","11.7",".522","16.0","37.7",".331",2010,"NCAA","Villanova "
"3914","Wake Forest ","31","20","11",".645","11.45","8.85","2257","2155","70.4","100.9",".408",".233",".506","53.0","45.5","9.9","12.7",".470","17.4","38.8",".268",2010,"NCAA","Wake Forest "
"3916","Washington ","36","26","10",".722","15.64","7.49","2851","2519","72.8","108.5",".409",".257",".540","52.5","51.3","10.0","10.2",".497","14.8","36.9",".295",2010,"NCAA","Washington "
"3918","West Virginia ","38","31","7",".816","19.16","10.26","2752","2414","64.0","111.4",".396",".348",".529","54.5","62.5","8.6","11.4",".489","14.8","42.0",".279",2010,"NCAA","West Virginia "
"3927","Winthrop ","33","19","14",".576","-8.68","-7.31","2042","2025","66.7","92.0",".360",".259",".451","51.0","47.1","12.8","11.8",".412","15.1","34.1",".232",2010,"NCAA","Winthrop "
"3928","Wisconsin ","33","24","9",".727","17.84","7.66","2214","1878","59.8","111.3",".325",".394",".548","51.3","53.1","9.4","9.5",".514","12.5","30.2",".238",2010,"NCAA","Wisconsin "
"3929","Wofford ","35","26","9",".743","4.43","-2.57","2408","2134","65.1","105.4",".443",".310",".531","52.2","56.8","10.6","5.8",".495","15.5","33.6",".296",2010,"NCAA","Wofford "
"3932","Xavier ","35","26","9",".743","16.23","5.94","2793","2433","69.7","111.0",".419",".319",".559","53.5","51.4","9.3","8.9",".522","15.3","35.2",".298",2010,"NCAA","Xavier "
"3936","Akron ","36","23","13",".639","2.15","-1.02","2524","2365","67.0","102.9",".313",".379",".530","47.9","58.3","9.8","9.2",".499","15.4","28.3",".220",2011,"NCAA","Akron "
"3938","Alabama-Birmingham ","31","22","9",".710","8.55","2.78","2119","1940","63.1","105.7",".297",".405",".538","51.7","55.6","8.2","8.2",".508","16.4","33.4",".213",2011,"NCAA","Alabama-Birmingham "
"3939","Alabama State ","35","17","18",".486","-13.37","-10.31","2146","2234","66.5","91.5",".473",".317",".476","50.7","55.5","10.9","13.1",".440","19.6","35.7",".285",2011,"NCAA","Alabama State "
"3946","Arizona ","38","30","8",".789","16.54","7.99","2905","2580","66.9","112.8",".436",".361",".583","53.1","55.3","7.7","6.5",".541","16.3","34.0",".325",2011,"NCAA","Arizona "
"3947","Little Rock ","36","19","17",".528","-4.32","-2.97","2457","2426","65.4","103.3",".423",".317",".528","48.9","52.5","8.9","7.4",".488","15.5","29.9",".292",2011,"NCAA","Little Rock "
"3958","Belmont ","35","30","5",".857","13.07","-4.42","2790","2178","69.2","114.3",".382",".422",".577","52.5","60.9","13.9","9.7",".542","16.6","37.4",".281",2011,"NCAA","Belmont "
"3963","Boston University ","35","21","14",".600","-2.48","-3.85","2270","2222","62.7","103.0",".373",".401",".517","50.2","46.1","8.6","10.5",".473","16.0","34.0",".272",2011,"NCAA","Boston University "
"3966","Brigham Young ","37","32","5",".865","18.65","5.76","3012","2512","71.1","113.4",".382",".382",".562","51.9","52.8","11.2","9.9",".518","13.1","31.2",".292",2011,"NCAA","Brigham Young "
"3969","Bucknell ","34","25","9",".735","2.39","-3.87","2387","2174","66.1","105.9",".341",".315",".554","49.7","59.4","7.1","8.9",".509","15.0","25.2",".269",2011,"NCAA","Bucknell "
"3971","Butler ","38","28","10",".737","11.53","5.02","2707","2437","64.5","109.0",".377",".387",".541","52.3","49.2","9.1","4.7",".501","14.3","33.2",".273",2011,"NCAA","Butler "
"3981","UC-Santa Barbara ","32","18","14",".563","1.22","0.12","2170","2105","65.2","102.9",".373",".373",".563","49.6","61.6","11.0","12.2",".523","19.1","28.4",".281",2011,"NCAA","UC-Santa Barbara "
"3994","Cincinnati ","35","26","9",".743","15.41","6.10","2412","2086","63.6","107.9",".383",".336",".526","53.2","58.6","11.5","10.2",".494","14.9","38.1",".256",2011,"NCAA","Cincinnati "
"3996","Clemson ","34","22","12",".647","13.76","6.58","2330","2086","65.1","104.5",".385",".345",".539","51.2","54.9","12.2","13.2",".503","17.2","34.2",".270",2011,"NCAA","Clemson "
"4006","Connecticut ","41","32","9",".780","17.95","10.44","2967","2659","65.1","109.2",".338",".293",".526","52.9","50.7","9.5","13.6",".482","14.2","38.7",".258",2011,"NCAA","Connecticut "
"4020","Duke ","37","32","5",".865","24.51","8.32","2993","2394","70.2","115.2",".374",".353",".576","51.9","50.9","10.4","9.7",".537","14.7","35.1",".282",2011,"NCAA","Duke "
"4038","Florida State ","34","23","11",".676","13.48","6.45","2348","2109","69.3","99.3",".381",".333",".522","53.3","51.1","12.2","17.5",".490","19.4","35.6",".253",2011,"NCAA","Florida State "
"4039","Florida ","37","29","8",".784","16.27","7.57","2667","2345","63.9","110.3",".357",".317",".547","54.0","53.8","9.1","9.5",".521","15.6","37.2",".239",2011,"NCAA","Florida "
"4046","George Mason ","34","27","7",".794","11.66","1.37","2474","2124","64.3","111.9",".386",".308",".562","51.5","55.1","10.1","8.9",".532","14.6","32.9",".266",2011,"NCAA","George Mason "
"4048","Georgetown ","32","21","11",".656","14.61","10.39","2258","2123","64.8","108.5",".334",".371",".572","52.0","59.5","9.3","11.2",".541","18.0","33.7",".245",2011,"NCAA","Georgetown "
"4052","Georgia ","33","21","12",".636","10.43","6.13","2267","2125","64.6","104.0",".366",".250",".530","53.4","60.1","9.7","12.8",".495","17.2","36.8",".255",2011,"NCAA","Georgia "
"4053","Gonzaga ","35","25","10",".714","13.86","4.01","2684","2307","68.4","111.3",".416",".281",".576","54.8","58.2","10.5","10.5",".531","16.9","35.4",".317",2011,"NCAA","Gonzaga "
"4056","Hampton ","33","24","9",".727","-5.20","-8.77","2197","2070","67.3","97.5",".412",".357",".499","47.0","51.9","10.7","14.2",".463","15.8","29.7",".267",2011,"NCAA","Hampton "
"4072","Illinois ","34","20","14",".588","16.72","11.11","2413","2222","66.2","106.8",".282",".314",".557","51.2","63.5","8.3","12.1",".529","16.7","31.7",".206",2011,"NCAA","Illinois "
"4073","Indiana State ","34","20","14",".588","3.41","2.90","2253","2192","64.8","100.8",".377",".362",".533","50.8","56.0","9.5","12.4",".494","18.4","30.9",".268",2011,"NCAA","Indiana State "
"4084","Kansas State ","34","23","11",".676","14.59","8.41","2477","2249","68.8","105.9",".427",".325",".531","54.7","55.8","8.9","12.1",".499","17.6","40.9",".280",2011,"NCAA","Kansas State "
"4085","Kansas ","38","35","3",".921","24.10","7.62","3084","2458","69.7","116.0",".393",".324",".593","55.7","60.5","11.1","10.7",".570","16.3","36.7",".267",2011,"NCAA","Kansas "
"4090","Kentucky ","38","29","9",".763","20.30","8.91","2845","2412","66.2","112.8",".361",".324",".556","52.5","48.1","8.4","15.5",".523","13.7","34.3",".257",2011,"NCAA","Kentucky "
"4098","Long Island University ","33","27","6",".818","2.23","-5.77","2730","2466","75.3","108.9",".497",".316",".550","52.8","54.2","9.8","7.6",".519","16.9","37.4",".321",2011,"NCAA","Long Island University "
"4104","Louisville ","35","25","10",".714","18.60","8.20","2623","2259","67.8","108.6",".299",".407",".548","50.1","64.1","13.5","13.5",".526","16.1","34.8",".198",2011,"NCAA","Louisville "
"4113","Marquette ","37","22","15",".595","14.89","8.51","2782","2546","68.0","110.2",".443",".261",".549","51.7","59.0","10.5","9.5",".510","15.2","36.1",".308",2011,"NCAA","Marquette "
"4120","Memphis ","35","25","10",".714","6.91","3.14","2524","2392","69.1","103.2",".396",".324",".538","50.6","57.5","12.1","13.4",".504","18.6","35.3",".269",2011,"NCAA","Memphis "
"4124","Michigan State ","34","19","15",".559","13.70","11.67","2338","2263","66.0","103.1",".365",".327",".526","52.9","62.3","9.7","13.1",".489","17.0","34.5",".256",2011,"NCAA","Michigan State "
"4125","Michigan ","35","21","14",".600","14.21","10.68","2328","2187","62.1","106.3",".266",".426",".547","48.6","56.7","7.7","6.0",".523","14.2","25.5",".186",2011,"NCAA","Michigan "
"4136","Missouri ","34","23","11",".676","14.77","6.50","2748","2435","72.5","110.3",".339",".312",".552","48.6","56.8","13.2","12.5",".515","14.8","33.9",".250",2011,"NCAA","Missouri "
"4140","Morehead State ","35","25","10",".714","2.81","-3.13","2412","2162","64.3","106.2",".401",".321",".541","56.9","49.8","13.2","10.2",".509","19.1","41.6",".270",2011,"NCAA","Morehead State "
"4146","Nevada-Las Vegas ","33","24","9",".727","14.67","6.00","2363","2077","67.3","106.0",".391",".304",".543","51.0","60.5","12.0","10.7",".509","16.0","33.1",".270",2011,"NCAA","Nevada-Las Vegas "
"4157","North Carolina-Asheville ","34","20","14",".588","-0.69","-2.89","2506","2333","70.1","102.9",".415",".264",".537","49.3","55.8","12.7","11.9",".495","17.8","33.2",".295",2011,"NCAA","North Carolina-Asheville "
"4163","North Carolina ","37","29","8",".784","18.87","10.15","2868","2545","72.6","106.5",".379",".250",".524","54.0","54.9","8.6","13.3",".492","15.3","37.1",".255",2011,"NCAA","North Carolina "
"4170","Northern Colorado ","32","21","11",".656","1.39","-2.24","2287","2105","66.8","107.0",".434",".385",".555","53.6","50.8","8.9","6.4",".502","18.1","35.3",".334",2011,"NCAA","Northern Colorado "
"4177","Notre Dame ","34","27","7",".794","18.17","8.43","2558","2227","64.3","115.3",".451",".386",".575","53.2","66.8","7.0","9.6",".535","14.1","33.4",".327",2011,"NCAA","Notre Dame "
"4178","Oakland ","35","25","10",".714","8.28","0.10","2992","2690","72.4","117.6",".390",".359",".591","53.4","54.0","8.5","12.2",".559","15.7","37.2",".281",2011,"NCAA","Oakland "
"4179","Ohio State ","37","34","3",".919","25.84","8.38","2854","2208","64.1","120.0",".371",".327",".589","53.8","57.7","11.1","9.1",".563","13.4","35.7",".260",2011,"NCAA","Ohio State "
"4183","Old Dominion ","34","27","7",".794","9.03","1.76","2231","1984","60.7","108.1",".376",".276",".518","58.6","60.4","11.3","13.2",".485","16.4","45.4",".251",2011,"NCAA","Old Dominion "
"4188","Penn State ","34","19","15",".559","11.98","11.45","2144","2126","59.8","105.5",".311",".365",".534","51.0","53.8","7.4","7.4",".501","15.1","32.2",".225",2011,"NCAA","Penn State "
"4191","Pittsburgh ","34","28","6",".824","20.82","7.85","2514","2073","63.3","116.3",".431",".274",".559","57.8","67.2","7.4","9.0",".529","15.0","42.9",".289",2011,"NCAA","Pittsburgh "
"4196","Princeton ","32","25","7",".781","3.71","-1.61","2215","2017","63.4","107.0",".359",".313",".558","53.1","54.2","9.2","10.7",".522","16.4","31.5",".263",2011,"NCAA","Princeton "
"4200","Purdue ","34","26","8",".765","19.36","8.69","2466","2103","66.0","109.5",".344",".330",".542","51.4","61.5","9.4","10.5",".507","13.5","32.4",".246",2011,"NCAA","Purdue "
"4205","Richmond ","37","29","8",".784","11.23","2.79","2577","2265","63.2","109.5",".323",".366",".557","48.5","59.4","9.3","10.8",".531","14.2","28.6",".222",2011,"NCAA","Richmond "
"4215","Saint Peter's ","34","20","14",".588","-0.28","-1.08","2069","2042","65.5","92.5",".389",".322",".490","49.3","53.7","11.8","12.4",".455","19.5","32.1",".250",2011,"NCAA","Saint Peter's "
"4218","San Diego State ","37","34","3",".919","17.96","6.36","2660","2192","63.7","112.0",".305",".298",".543","54.9","50.4","9.6","12.0",".515","14.1","38.2",".213",2011,"NCAA","San Diego State "
"4238","Southern California ","34","19","15",".559","11.52","7.97","2252","2131","64.3","102.6",".354",".315",".526","50.7","49.4","9.1","8.4",".499","15.4","29.9",".230",2011,"NCAA","Southern California "
"4249","St. John's (NY) ","33","21","12",".636","13.10","10.01","2313","2211","66.5","105.1",".442",".241",".539","49.5","51.7","12.1","9.2",".495","16.0","32.5",".314",2011,"NCAA","St. John's (NY) "
"4254","Syracuse ","35","27","8",".771","18.85","8.79","2568","2216","66.0","110.3",".360",".317",".553","52.5","60.5","13.1","18.9",".528","15.7","36.7",".239",2011,"NCAA","Syracuse "
